Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,329.8099975585937,329.8099975585937,329.9800109863281,324.7799987792969,326.1000061035156,4485800.0
2020-01-03,325.8999938964844,325.8999938964844,329.8599853515625,325.5299987792969,326.7799987792969,3806900.0
2020-01-04,325.8999938964844,325.8999938964844,329.8599853515625,325.5299987792969,326.7799987792969,3806900.0
2020-01-05,325.8999938964844,325.8999938964844,329.8599853515625,325.5299987792969,326.7799987792969,3806900.0
2020-01-06,335.8299865722656,335.8299865722656,336.3599853515625,321.20001220703125,323.1199951171875,5663100.0
2020-01-07,330.75,330.75,336.70001220703125,330.29998779296875,336.4700012207031,4703200.0
2020-01-08,339.260009765625,339.260009765625,342.70001220703125,331.04998779296875,331.489990234375,7104500.0
2020-01-09,335.6600036621094,335.6600036621094,343.4200134277344,334.6099853515625,342.0,4709300.0
2020-01-10,329.04998779296875,329.04998779296875,338.5,327.2699890136719,337.1300048828125,4718300.0
2020-01-11,329.04998779296875,329.04998779296875,338.5,327.2699890136719,337.1300048828125,4718300.0
2020-01-12,329.04998779296875,329.04998779296875,338.5,327.2699890136719,337.1300048828125,4718300.0
2020-01-13,338.9200134277344,338.9200134277344,340.8500061035156,331.510009765625,331.79998779296875,6290000.0
2020-01-14,338.69000244140625,338.69000244140625,345.3800048828125,335.5199890136719,344.3999938964844,7199400.0
2020-01-15,339.07000732421875,339.07000732421875,343.1700134277344,336.6000061035156,338.67999267578125,5158000.0
2020-01-16,338.6199951171875,338.6199951171875,343.5599975585937,335.8500061035156,343.5,5016000.0
2020-01-17,339.6700134277344,339.6700134277344,341.57000732421875,337.3800048828125,341.0,6066500.0
2020-01-18,339.6700134277344,339.6700134277344,341.57000732421875,337.3800048828125,341.0,6066500.0
2020-01-19,339.6700134277344,339.6700134277344,341.57000732421875,337.3800048828125,341.0,6066500.0
2020-01-20,339.6700134277344,339.6700134277344,341.57000732421875,337.3800048828125,341.0,6066500.0
2020-01-21,338.1099853515625,338.1099853515625,341.0,332.5899963378906,340.0,14350300.0
2020-01-22,326.0,326.0,336.29998779296875,323.6000061035156,332.54998779296875,21730000.0
2020-01-23,349.6000061035156,349.6000061035156,349.8800048828125,325.010009765625,326.0400085449219,18200300.0
2020-01-24,353.1600036621094,353.1600036621094,359.8500061035156,345.8800048828125,348.4599914550781,17939700.0
2020-01-25,353.1600036621094,353.1600036621094,359.8500061035156,345.8800048828125,348.4599914550781,17939700.0
2020-01-26,353.1600036621094,353.1600036621094,359.8500061035156,345.8800048828125,348.4599914550781,17939700.0
2020-01-27,342.8800048828125,342.8800048828125,351.8999938964844,341.0199890136719,345.95001220703125,7709500.0
2020-01-28,348.5199890136719,348.5199890136719,352.3999938964844,342.7799987792969,345.8800048828125,6821600.0
2020-01-29,343.1600036621094,343.1600036621094,349.3999938964844,338.54998779296875,349.0,7643500.0
2020-01-30,347.739990234375,347.739990234375,348.20001220703125,339.25,341.1000061035156,5328100.0
2020-01-31,345.0899963378906,345.0899963378906,347.3900146484375,340.9800109863281,347.3900146484375,5230000.0
2020-02-01,345.0899963378906,345.0899963378906,347.3900146484375,340.9800109863281,347.3900146484375,5230000.0
2020-02-02,345.0899963378906,345.0899963378906,347.3900146484375,340.9800109863281,347.3900146484375,5230000.0
2020-02-03,358.0,358.0,359.6300048828125,346.2799987792969,347.239990234375,6670600.0
2020-02-04,369.010009765625,369.010009765625,369.5700073242188,356.1000061035156,361.0,7161500.0
2020-02-05,369.6700134277344,369.6700134277344,375.25,362.2999877929688,375.1300048828125,6437000.0
2020-02-06,366.9500122070313,366.9500122070313,371.5499877929688,362.510009765625,369.6000061035156,3920400.0
2020-02-07,366.7699890136719,366.7699890136719,371.7999877929688,363.5700073242188,365.0400085449219,4385200.0
2020-02-08,366.7699890136719,366.7699890136719,371.7999877929688,363.5700073242188,365.0400085449219,4385200.0
2020-02-09,366.7699890136719,366.7699890136719,371.7999877929688,363.5700073242188,365.0400085449219,4385200.0
2020-02-10,371.0700073242188,371.0700073242188,374.7999877929688,362.5199890136719,365.0,5294100.0
2020-02-11,373.6900024414063,373.6900024414063,378.1099853515625,369.7200012207031,373.75,4772900.0
2020-02-12,380.010009765625,380.010009765625,380.6199951171875,375.8800048828125,377.1799926757813,4624800.0
2020-02-13,381.3999938964844,381.3999938964844,385.3699951171875,376.510009765625,376.9599914550781,4485400.0
2020-02-14,380.3999938964844,380.3999938964844,385.1499938964844,379.4299926757813,381.4700012207031,3736300.0
2020-02-15,380.3999938964844,380.3999938964844,385.1499938964844,379.4299926757813,381.4700012207031,3736300.0
2020-02-16,380.3999938964844,380.3999938964844,385.1499938964844,379.4299926757813,381.4700012207031,3736300.0
2020-02-17,380.3999938964844,380.3999938964844,385.1499938964844,379.4299926757813,381.4700012207031,3736300.0
2020-02-18,387.7799987792969,387.7799987792969,389.5400085449219,379.1900024414063,379.2999877929688,5173900.0
